,from,to
93,アギア システムズ オプトエレクトロニクス ガーディアン コーポレーション,Agear Systems Optolonics Guardian Corporation
94,Agency for Science Technology and Research Singapore,Agency For Science Technology And Research Singapore
95,"Agency For Science, Technology And Research","Agency For Science, Technology And Research"
96,エージェンシー フォー サイエンス， テクノロジー アンド リサーチ,"Agency Four Science, Technology And Research"
97,エージェンシー フォー サイエンス，テクノロジー アンド リサーチ,"Agency Four Science, Technology And Research"
98,Ageni Energy Co Ltd,Ageni Energy Co Ltd
99,Agere Systems Optoelectronics Guardian Corp,Agere Systems Optoelectronics Guardian Corp
100,Agilent Technol Inc,Agilent Technol Inc
101,Agilent Technologies Inc,Agilent Technologies Inc
102,アジレント・テクノロジーズ・インク,Agilent Technologies Ink
103,Agni Energy Co ltd,Agni Energy Co Ltd
104,エイ・ティ・アンド・ティ・コーポレーション,Ai Ti And Tee Corporation
105,学校法人愛知学院,Aichi Gakuin
106,Aichi Gakuin,Aichi Gakuin
107,Airbnb Inc,Airbnb Inc
108, Aixtron Inc,Aixtron Inc
109,Eizo Corp,Aizo Cup
110,"Akamai Technologies, Inc.","Akamai Technologies, Inc."
111,アキフィ，インコーポレイティド,"Akifi, Incorporationido"
112,明彦 菅原,Akihiko Sugawara
113,Akihiko Sugawara,Akihiko Sugawara
114,秋田県,Akita
115,財団法人あきた企業活性化センター,Akita Corporate Revitalization Center
116,Akita Kigyo Kasseika Center,Akita Machine Fish Revitalization First Make
117,Akita Prefecture,Akita Prefecture
118, Akonia Holographics LLC,Akonia Holographics Llc
119,Akonia Holographics LLC,Akonia Holographics Llc
120,Alan Y. Chow,Alan Y. Chow
121,Alastair John Grant,Alastair John Grant
122,Albert Ludwigs Universitaet Freiburg,Albert Ludwig's University Of Freiburg
123,Albert Ludwigs Universitaet Freiburg ,Albert Ludwig's University Of Freiburg
124,Alcatel Lucent NV,Alcatel Lucent Nv
125,Alcatel Lucent SAS,Alcatel Lucent Sas
126, Alcon Inc,Alcon Inc
127, Alcon Inc ,Alcon Inc
128,Alcon Inc,Alcon Inc
129,Alcon Inc ,Alcon Inc
130,Alcon Inc.,Alcon Inc
131,アルコン，インコーポレイティド,Alcon Inc
132, Alcon Research LLC,Alcon Research Llc
133,Alcon Research LLC,Alcon Research Llc
134,Alentic Microscience Inc,Alentic Microscience Inc
135,Alessandro Gabbi,Alessandro Gabbi
136,Alex Ning,Alex Ning
137,Alexander Hertel,Alexander Hertel
138,Ali Hussein,Ali Hussein
139,Alibaba Group Holding Limited,Alibaba Group Holding Ltd
140,Alibaba Group Holding Ltd,Alibaba Group Holding Ltd
141,Alibaba Technology Israel Ltd,Alibaba Technology Israel Ltd
142, Alicona Imaging GmbH,Alicona Imaging Gmbh
143,Alicona Imaging GmbH,Alicona Imaging Gmbh
144,Alicona Imaging Gmbh,Alicona Imaging Gmbh
145,Alien Technology Corp,Alien Technology Corp
146,Alien Technology Corporation,Alien Technology Corp
147,Align Technology Inc,Align Technology Inc
148,Allergan Sales LLC ,Allergan Sales Llc
149,Alpha Hou,Alpha Hou
150,アルパイン株式会社,"Alpine Co., Ltd."
151,Alpine Electronics Inc,Alpine Electronics Inc
152,"Altasens, Inc.","Altasens, Inc."
153,株式会社 オルタステクノロジー,"Altastechnology Co., Ltd."
154, Altek Corp,Altek Corp
155,Altek Corp,Altek Corp
156, Altek Semiconductor Corp,Altek Semiconductor Corp
157,Altek Semiconductor Corp,Altek Semiconductor Corp
158,Altera Corp,Altera Corp
159,Amazon Technologies Inc,Amazon Technologies Inc
160,AMBIR TECHNOLOGY Inc ,Ambir Technology Inc
161,美商英特爾股份有限公司,"American Business Intel Co., Ltd."
162,美商菲絲博克科技有限公司,"American Business Pholy Bok Technology Co., Ltd."
163,American Optical Corp,American Optical Corp
164,American Optical Corp ,American Optical Corp
165,American Tech Network Corp,American Tech Network Corp
166,Amitai Yaakov,Amit Yakov
167,Amkor Technology Singapore Holding Pte Ltd,Amkor Technology Singapore Holding Pte Ltd
168,AMO Development LLC,Amo Development Llc
169,"Amo Development, Llc","Amo Development, Llc"
170,AMO Groningen BV,Amo Groningen Bv
171,AMO Groningen BV ,Amo Groningen Bv
172,AMO Uppsala AB,Amo Uppsala Ab
173,Amphenol Antenna Solutions Inc,Amphenol Antenna Solutions Inc
174,AMS Medinvent SA,Ams Medinvent In
175,Ams Osram AG,Ams Osram Ag
176,Ams Sensors Singapore Pte Ltd,Ams Sensors Singapore Pte Ltd
177,Analogic Corp,Analog Body
178,Analog Devices Inc,Analog Devices Inc
179,"Analog Devices, Inc.","Analog Devices, Inc."
180,Anascape Ltd,Anascape Ltd
181,Anatoly Bekkerman,Anatoly Bekkerman
182,Katsumi Kaneko,And Not Kaneko
183,Katsumi Yamamoto,And Unprecedented Yamamoto
184,Andre Arsenault,Andre Arsenault
185,Andreas Meisel,Andreas Chisel
186,Andreas Obrebski,Andreas Obrebski
187,Andreas Stemmer,Andreas Votes
188,Andrew Kerdemelidis,Andreo Kerdemelides
189,Andrew F. Phillips,Andrew F. Phillips
190,Andrew H B Zhou,Andrew H B Zhou
191,Andrew Robertson,Andrew Robertson
192,Andrew W Holman,Andrew W Holman
193,Yu-Chong Tai,And-zhongtai
194,ANEW IOL TECHNOLOGIES Inc,Anew Iol Technologies Inc
195, Angstrom Inc ,Angstrom Inc
196,Angstrom Inc ,Angstrom Inc
197,"Angstrom, Inc.",Angstrom Inc
198,アングストローム，インコーポレイテッド,Angstrom Inc
199,"ANHUI GUANGZHEN PHOTOELECTRIC TECHNOLOGY Co.,Ltd.","Anhui Guangzhen Photoelectric Technology Co.,ltd."
200,Anis Aziz Y,Anis Aziz And
201,Ankit Kumar,Ankit Kumar
202,Ankobot Shanghai Smart Technologies Co Ltd ,Ankobot Shanghai Smart Technologies Co Ltd
203, Ankobot Shenzhen Smart Technologies Co Ltd,Ankobot Shenzhen Smart Technologies Co Ltd
204,TiNi Alloy Co,Another
205,ANSTROM Inc ,Anstrom Inc
206,Anteryon International BV,Anteryon International Bv
207,Anthony Lo,Anthony Lo
208,Anthony Amir Tanbakuchi,Anthony Rich Tambakuki
209,Anvik Corp,Anvik Corp
210,AO Ether Corp,Ao Ether Corp
211,AOM AC Inc ,Aom Ac Inc
212,"Aozhixin Digital Technology Co.,Ltd.","Aozhixin Digital Technology Co.,ltd."
213,"Aperio Technologies, Inc.","Aperio Technologies, Inc."
214,Aperture in Motion LLC,Aperture In Motion Llc
215,A-Pex Instrument Photoelectric Technology (shenzhen) Co Ltd,A-pex Instrument Photoelectric Technology (shenzhen) Co Ltd
216,Apical Ltd,Apical Ltd
217,Apollo Intelligent Technology Beijing Co Ltd,Apollo Intelligent Technology Beijing Co Ltd
218,Apera AI Inc,Appeati Ai Inc
219, Apple Inc,Apple Inc
220,Apple Inc,Apple Inc
221,Apple Inc ,Apple Inc
222,Apple Inc.,Apple Inc
223,Applied Biophotonics Ltd,Applied Biophotonics Ltd
224,Applied Materials Inc,Applied Materials Inc
225,"Applied Materials, Inc.","Applied Materials, Inc."
226,Applied Minds LLC,Applied Minds Llc
227,Aptina Imaging Corp,Aptina Imaging Corp
228,Aptiv Technologies Ltd,Aptiv Technologies Ltd
229,Aptiv Technologies Ltd ,Aptiv Technologies Ltd
230,アプティブ・テクノロジーズ・リミテッド,Aptive Technologies Limited
231,Aquifi Inc,Aquifi Inc
232,"Aquifi, Inc.","Aquifi, Inc."
233,ARCHERMIND TECHNOLOGY (NANJING) Co Ltd,Archermind Technology (nanjing) Co Ltd
234,ArcSoft Inc,Arcsoft Inc
235, Area Detector Systems Corp,Area Detector Systems Corp
236,Arete Associates Inc,Arete Associates Inc
237,Arist Instruments Inc,Arist Instruments Inc
238, Arizona Board of Regents of University of Arizona ,Arizona Board Of Regents Of University Of Arizona
239,Arizona Board of Regents of University of Arizona,Arizona Board Of Regents Of University Of Arizona
240,Arizona Board of Regents of University of Arizona ,Arizona Board Of Regents Of University Of Arizona
241,Arizona Board Of Regents On Behalf Of The University Of Arizona,Arizona Board Of Regents On Behalf Of The University Of Arizona
242,"Arizona Carbon Foil Co., Inc.","Arizona Carbon Foil Co., Inc."
243,Arkema France SA ,Arkema France In
244,"Arlington Vision, Llc","Arlington Vision, Llc"
245,ARM Ltd,Arm Ltd
246,ARMORLITE LEUS Co Inc ,Armorlite Leus Co Inc
247, ARMORLITE LEUS COMPANY Inc,Armorlite Leus Company Inc
248, Arnold and Richter Cine Technik GmbH and Co KG,Arnold And Richter Cine Technik Gmbh And Co Kg
249,アレイ株式会社,"Array Co., Ltd."
250,ARRI MEDICAL GMBH ,Arri Medical Gmbh
251,"ARRI MEDICAL GMBH, DE ","Arri Medical Gmbh, From"
252,Articulated Technologies Llc,Articulated Technologies Llc
253,Artificial Intelligence Research Group Ltd,Artificial Intelligence Research Group Ltd
254, Artificial Muscle Inc,Artificial Muscle Inc
255,"Artificial Muscle, Inc.","Artificial Muscle, Inc."
256,Artoun Ramian,Artoun Ramian
257,Aruze Corp,Aruze Body
258,Arvind Kondangi Lakshmikumar,Arvind Kodangi Laxmikumar
259,アルゼ株式会社,"Arze Co., Ltd."
260,SBG Labs Inc ,As A Labs Inc.
261,Asahi Glass Co Ltd,Asahi Glass Co Ltd
262,旭硝子株式会社,"Asahi Glass Co., Ltd."
263,Asahi Optical Co Ltd,Asahi Optical Co Ltd
264,旭光学工業株式会社,"Asahiko Kogyo Co., Ltd."
265,"Aschwanden, Manuel","Aschwanden, Manuel"
266,Ashok Veeraraghavan,Ashok
267,Aswin Sankaranarayanan,Ashwin Sankranarayanam
268,エーエーシー コミュニケーション テクノロジーズ（ジョウシュウ）カンパニーリミテッド,Asi Communication Technologies (joshu) Company Limited
269, Asia Optical Co Inc,Asia Optical Co Inc
270,Asia Optical Co Inc,Asia Optical Co Inc
271,亞洲光學股份有限公司,"Asian Optical Co., Ltd."
272,ASML Holding NV,Asml Holding Nv
273,Asml Netherlands B.V.,Asml Netherlands B.v.
274, ASML Netherlands BV,Asml Netherlands Bv
275,ASML Netherlands BV,Asml Netherlands Bv
276,Assa Abloy AB,Assa Abla Ab
277,Assignee,Assignee
278,Asulab AG,Asulab At
279,At & T Corp,At & T Corp
280,AT&T Corp,At&t Corp
281,AT&T Intellectual Property I LP,At&t Intellectual Property I Lp
282,AT&T Mobility II LLC,At&t Mobility Ii Llc
283,Athey James Leighton,Athey James Leighton
284,ATI Technologies ULC,Ati Technologies Ulc
285,ATI Technologies ULC ,Ati Technologies Ulc
286,Atlas Global Technologies LLC,Atlas Global Technologies Llc
287,AU Optronics Corp,Au Optronics Corp
288,Au Optronics Corp,Au Optronics Corp
289,Audi AG,Audi Ag
290,Augray Pvt Ltd,Augray Pvt Ltd
291,友達光電股份有限公司,"Auo Optoelectronics Co., Ltd."
292,Aupu Nikon Sumoer Holds Shares Of Co ,Aupu Nikon Sumoer Holds Shares Of Co
293,Aupu Thun technology stock company,Aupu Thun technology stock company
294,Auris Health Inc,Auris Health Inc
295,Auris Health Inc ,Auris Health Inc
296,"Auris Health, Inc.","Auris Health, Inc."
297,Aurora Operations Inc,Aurora Operations Inc
298,Australian National University,Australian National University
299,Autodesk Inc,Autodesk Inc
300,Automation Engineering Inc,Automation Engineering Inc
301, Auxetic Technologies Ltd,Auxetic Technologies Ltd
302, Avago Technologies International Sales Pte Ltd,Avago Technologies International Sales Pte Ltd
303,Avago Technologies International Sales Pte Ltd,Avago Technologies International Sales Pte Ltd
304,Avago Technologies International Sales Pte Ltd ,Avago Technologies International Sales Pte Ltd
305,Avalon Holographics Inc,Avalon Holographics Inc
306,Avantium NV,Avantium Nv
307,Avco Corp ,Avco Corp
308, Avco Everett Research Laboratory Inc ,Avco Everett Research Laboratory Inc
309,Avedro Inc,Avedro Inc
310,アヴェドロ・インコーポレーテッド,Avedro Incorporated
311,アヴェドロ・インコーポレーテッドＡｖｅｄｒｏ，Ｉｎｃ．,"Avedro Incorporated Avedro, Inc."
312,"Avedro, Inc.","Avedro, Inc."
313,Avegant Corp,Avegant Corp
314,Avegant Corp.,Avegant Corp.
315,Avery Dennison Corp,Avery Dennison Corp
316,Aviation Specialties Unlimited Inc,Aviation Specialties Unlimited Inc
317,Avigilon Analytics Corp ,Avigilon Analytics Corp
318,Avigilon Fortress Corp,Avigilon Fortress Corp
319,Axcelis Technologies Inc,Axcelis Technologies Inc
320, Axcess Inc,Axcess Inc
321,Axel Busboom,Axel Busboom
322,Axis AB,Axis AB
323,Axon Enterprise Inc,Axon Enterprise Inc
324,"Axon Enterprise, Inc.",Axon Enterprise Inc
325,Eyal Dery,Ayal Duri
326,Aylin Kilic,Aylin Kilic
327,아칠리온 파르마세우티칼스 인코포레이티드,Azilion Parse Ticals Incoporited
328,Brother Kogyo Kabushiki Kaisha,"B Road Te R Food Fish Co., Ltd."
329,"B.G. Negev Technologies And Applications Ltd., At Ben-Gurion University","B.g. Negev Technologies And Applications Ltd., At Ben-gurion University"
330,BAE Systems Controls Inc,Bae Systems Controls Inc
331,BAE Systems Imaging Solutions Inc,Bae Systems Imaging Solutions Inc
332,BAE Systems Information and Electronic Systems Integration Inc,Bae Systems Information And Electronic Systems Integration Inc
333,BAE Systems Integrated Defense Solutions Inc,Bae Systems Integrated Defense Solutions Inc
334,BAE Systems PLC,BAE Systems PLC
335,Bae Systems Plc,Bae Systems Plc
336,Baidu USA LLC,Baidu Usa Llc
337,Baikoff Georges,Baikoff Georges
338,Bailey Kelvin E,Bailey Kelvin E
339,Abu-Ageel Nayef M.,Bajil Nayef M.
340,Bakin Dmitry V.,Bakin Dmitry C.
341,Takesumi Doi,Bamboo Charcoal
342,Bancorp Licensing Inc,Bancorp Licensing Inc
343,Bank of America Corp,Bank Of America Corp
344, Bank of New York Commercial Corp,Bank Of New York Commercial Corp
345, Bank One Corp,Bank One Corp
346,BANKRUPTCY ESTATE OF CONCILIO NETWORKS Oy ,Bankruptcy Estate Of Concilio Networks Oy
347,Bao Tran,Bao Tran
348,Barco Nv,Barco Nv
349,バルコ， ナームローゼ フェンノートシャップ,"Barco, Nam Rose Fennote Shap"
350,BARELS LARRY,Barels Larry
351,BARELS LARRY ,Barels Larry
352,バリオプテイツク,Barioop Taizuku
353,Barry university,Barry University
354,BASF SE,Bass
355,Basf Se,Bass
356,Bassed Leonard Moses,Bassed Leonard Moses
357,바스텍 인터내셔널 코포레이션,Bastech International Corporation
358,Batchko Robert G,Batchko Robert G
359,Battelle Energy Alliance LLC,Battelle Energy Alliance Llc
360,Battelle Memorial Institute Inc,Battelle Memorial Institute Inc
361,Bausch & Lomb Inc,Bausch & Lomb Inc
362,Bausch & Lomb Incorporated,Bausch & Lomb Incorporated
363,Bausch and Lomb Inc,Bausch And Lomb Inc
364,Bausch and Lomb Inc ,Bausch And Lomb Inc
365, Bausch and Lomb Surgical Inc,Bausch And Lomb Surgical Inc
366,Bausch and Lomb Surgical Inc,Bausch And Lomb Surgical Inc
367,バクス リサーチ ラボラトリーズ インコーポレイテッド,Bax Research Laboratory's In Corporate
368, Bayer Intellectual Property GmbH ,Bayer Intellectual Property Gmbh
369,バイエル・インテレクチュアル・プロパティ・ゲゼルシャフト・ミット・ベシュレンクテル・ハフツング,Bayer Intellectual Property Gmbh
370,Bayer Intellectual Property GmbH,Bayer Intellectual Property Gmbh
371,Bayer Intellectual Property Gmbh,Bayer Intellectual Property Gmbh
372,Bayer Ip Gmbh,Bayer Ip Gmbh
373,Bayer Materialscience Ag,Bayer Materialscience Ag
374,ビーワイディー カンパニー リミテッド,Be Doman Company Limited
375,ビーワイディー カンパニー リミテッドＢｙｄ Ｃｏｍｐａｎｙ Ｌｉｍｉｔｅｄ,Be Doman Company Limited Byd Company Limited
376,BE INNOVATIVE GmbH,Be Innovative Gmbh
377, Beam Engineering for Advanced Measurements Co,Beam Engineering For Advanced Measurements Co
378,Beckman Coulter Inc,Beckman Coulter Inc
379,BECKMEN DISPLAY Inc ,Beckmen Display Inc
380,Becton Dickinson and Co,Becton Dickinson And Co
381,Behar Yves,Behar Yaves
382,BEI Sensors and Systems Co LLC ,Bei Sensors And Systems Co Llc
383,"Бейдзин Сяоми Мобайл Софтвэр Ко., Лтд.","Beidzin Xiaomi Mobail Sofwier K., Ltd."
384, Beihang University,Beihang University
385, Beihang University ,Beihang University
386,Beihang University,Beihang University
387,Beijing 7Invensun Technology Co Ltd,Beijing 7invensun Technology Co Ltd
388,Beijing Baidu Netcom Science and Technology Co Ltd,Beijing Baidu Netcom Science And Technology Co Ltd
389, Beijing BOE Display Technology Co Ltd,Beijing Boe Display Technology Co Ltd
390,"Beijing Boe Display Technology Co., Ltd.","Beijing Boe Display Technology Co., Ltd."
391, Beijing BOE Optoelectronics Technology Co Ltd,Beijing Boe Optoelectronics Technology Co Ltd
392, BEIJING DAHENG IMAGE VISION Co Ltd,Beijing Daheng Image Vision
393,Beijing Risun Technology Co ltd,Beijing Daily Damage Technology
394,Beijing Huaxia Yimaibaibai Network Technology Co ltd ,Beijing Huaxia Wheame Bai Network Technology
395,BEIJING IMAGE VISION TECHNOLOGY BRANCH CHINA DAHENG (GROUP) Co Ltd ,Beijing Image Vision Technology Branch China Daheng (group) Co Ltd
396,Beijing Information Science and Technology University,Beijing Information Science And Technology University
397,Beijing Institute of Aerospace Testing Technology,Beijing Institute Of Aerospace Testing Technology
398,Beijing Institute of Control Engineering,Beijing Institute Of Control Engineering
399,Beijing Institute of Technology BIT,Beijing Institute Of Technology Bit
400,Beijing Jingdong Century Trading Co Ltd ,Beijing Jingdong Century Trading
401, Beijing Jingdong Shangke Information Technology Co Ltd,Beijing Jingdong Class Information Technology
402,北京京东方光电科技有限公司,"Beijing Jingtong Optoelectronics Technology Co., Ltd."
403,Beijing Megvii Technology Co Ltd,Beijing Megvii Technology Co Ltd
404,Beijing Micro Technology Co Ltd,Beijing Micro Technology Co Ltd
405,Beijing Microlive Vision Technology Co Ltd,Beijing Microlive Vision Technology Co Ltd
406,Beijing Zhigu Rul Tuo Tech Co Ltd ,Beijing Only Cares About Camel Specialty
407,Beijing Zhigu Tech Co Ltd,Beijing Only Takes Care Of Specialty Products
408,Beijing Pico Technology Co Ltd,Beijing Pico Technology Co Ltd
409,Beijing Qingying Machine Visual Technology Co Ltd,Beijing Qingying Machine Visual Technology Co Ltd
410,Beijing Samsung Telecom R&D Center ,Beijing Samsung Telecom R&d Center
411, Beijing Samsung Telecommunications Technology Research Co Ltd ,Beijing Samsung Telecommunications Technology Research Co Ltd
412,Beijing Samsung Telecommunications Technology Research Co Ltd ,Beijing Samsung Telecommunications Technology Research Co Ltd
413,"Beijing star science and Technology Co., Ltd.","Beijing Star Science And Technology Co., Ltd."
414,Beijing Storm Mirror Technology Co Ltd,Beijing Storm Mirror Technology Co Ltd
415,Beijing Sweet Technology Co ltd,Beijing Sweet Technology Co Ltd
416,Beijing Technology and Business University,Beijing Technology And Business University
417, Beijing University of Aeronautics and Astronautics,Beijing University Of Aeronautics And Astronautics
418,Beijing University of Technology,Beijing University Of Technology
419,Beijing Visionox Photoelectronic Technology Co Ltd,Beijing Visionox Photoelectronic Technology Co Ltd
420,"Beijing Wuhuan Weiye Technology Co., Ltd.","Beijing Wuluan Weiye Technology Co., Ltd."
421, Beijing Xiaomi Mobile Software Co Ltd,Beijing Xiaomi Mobile Software
422,北京小米移动软件有限公司,Beijing Xiaomi Mobile Software
423,Beijing Xiaomi Mobile Software Co Ltd,Beijing Xiaomi Mobile Software
424,Beijing Zhigu Riu Tech Co Ltd ,Beijing Zhigu Iu Tech
425, Beijing Zhigu Ruituo Technology Services Co Ltd,Beijing Zhigu Ruito Technology Services
426,Beijing Zhigu Ruituo Technology Services Co Ltd,Beijing Zhigu Ruito Technology Services
427, Bell Semiconductor LLC,Bell Semiconductor Llc
428,Bell Semiconductor LLC,Bell Semiconductor Llc
429,Ben L. DeJesus,Ben L.fashion
430,Benedikt Jean,Benedikt Jean
431,Benhov GmbH LLC ,Benhov Gmbh Llc
432,BenQ Corp,Benq Corp
433,Bently Nevada Inc,Bently Nevada Inc
434,Berestka John Dr ,Berestka John Dr
435,"Berestka, John","Berestka, John"
436,Berlin Michael S,Berlin Michael S
437,Berner Fachhochschule Architektur Holz und Bau BFH AHB,Bern University Of Applied Sciences Architecture Holz And Bau Bfh Ahb
438,Bernard Markus,Bernard Markus
439, Bevocal LLC,Bevocal Llc
440,Bharadwaj Mitalee,Bharadwaj Mitalee
441,Big Data O'neal Co ,Big Data O'neal Co
442,Binit Corporation,Binit Corporation
443,Binit:Kk,Binit:kk
444,ビステオン グローバル テクノロジーズ インコーポレイテッド,Biston Global Technologies Incorporated
445,ビズー インベスト エイピーエス,Biz Invest Aps
446,ブラックアイ オプティクス，エルエルシー,"Black Eye Optics, El Elcy"
447,Black Sesame Technologies Inc,Black Sesame Technologies Inc
448,BlackBerry Ltd,Blackberry Ltd
449,Blackeye Optics LLC,Blackeye Optics Llc
450,"Blackeye Optics, Llc","Blackeye Optics, Llc"
451,"Blackeye Optics, Llc.","Blackeye Optics, Llc."
452,Blum Ronald D,Blum Ronald D
453,Blum Ronald D.,Blum Ronald D.
454,BMB Patent Holding Corp,Bmb Patent Holding Corp
455,"Board Of Regents, The University Of Texas System","Board Of Regents, The University Of Texas System"
456,ボード・オブ・リージエンツ，ザ・ユニバーシテイ・オブ・テキサス・システム,"Board Of Rigentz, The University Of Texas System"
457,Board Of Trustees Of Michigan State University,Board Of Trustees Of Michigan State University
458,Body Shield LLC,Body Shield Llc
459,京东方科技集团股份有限公司,"Boe Science And Technology Group Co., Ltd."
460,BOE Technology Group Co Ltd,Boe Technology Group Co Ltd
461,BOE Technology Group Co Ltd ,Boe Technology Group Co Ltd
462,"Boe Technology Group Co., Ltd.","Boe Technology Group Co., Ltd."
463,Boeing Co,Boeing Co
464,Bokke J Feenstra,Bokke J Feenstra
465,Bolymedia Holdings Co Ltd,Bolymedia Holdings Co Ltd
466,Borden Moller,Borden Moller
467,Boreas Technologies Inc,Boreas Technologies Inc
468,Борис Иванович Волков,Boris Ivanovich Volkov
469,ボシュ・アンド・ロム・インコーポレイテッド,Bosch And Rom Incorporated
470,Boston Polarimetrics Inc,Boston Polarimetrics Inc
471,"Boston Polarimetrics, Inc.","Boston Polarimetrics, Inc."
472,Boston Scientific Scimed Inc,Boston Scientific Scimed Inc
473,Boston Scientific Scimed Inc ,Boston Scientific Scimed Inc
474, BP Corp North America Inc,Bp Corp North America Inc
475,BP Solar International LLC,Bp Solar International Llc
476,Bradford Morse,Bradford Morse
477,Brady Jeffrey A,Brady Jeffrey A
478,Brain Corp,Brain Corp
479,Bran Ferren,Bran Ferren
480,Brian Adams Ballard,Brian Adams Ballard
481,Brien Holden Vision Institute Ltd,Brien Holden Vision Institute Ltd
